# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 27 07:34:06 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
#
pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.24500000,0.33900000,-0.13500000,0
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,2.22000000,1.34000000,-1.21000000,0
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,1.96000000,1.23000000,-1.12000000,0
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02133227,0.01472493,-0.01091784,0
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01749372,0.01208199,-0.00893564,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.32300000,0.10000000,-0.07100000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.60500000,1.22900000,-0.21500000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.59400000,0.81400000,-0.27200000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.56500000,0.31600000,-0.16100000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.64900000,0.33000000,-0.18100000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.33300000,0.10100000,-0.06800000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.31800000,0.07700000,-0.05800000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.39800000,0.29100000,-0.11200000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.92300000,0.73400000,-0.40900000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.34800000,0.13200000,-0.08700000,0
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019,KMTNet,1.6 m wide-field telescope,,,,,0.56500000,0.78900000,-0.24900000,0
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,1.09000000,0.64000000,-0.60000000,0
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,1.22000000,0.72000000,-0.63000000,0
KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,1.15000000,0.73000000,-0.63000000,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02894644,0.01573176,-0.01290004,0
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,19.00000000,8.00000000,-7.00000000,0
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.78700000,1.02900000,-0.92600000,0
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.85000000,0.96600000,-0.89500000,0
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.81000000,0.96000000,-0.96000000,0
KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,21.00000000,23.00000000,-13.00000000,0
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,7.70000000,11.34000000,-3.90000000,0
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,11.98000000,17.65000000,-6.31000000,0
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,1.95000000,1.76000000,-0.93000000,0
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,4.57000000,3.74000000,-2.06000000,0
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,4.26000000,3.32000000,-1.87000000,0
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,2.14000000,1.75000000,-0.96000000,0
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,Microlensing,2025,KMTNet,1.6 m wide-field telescope,,,,,1.20000000,1.20000000,-0.60000000,0
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,Microlensing,2025,KMTNet,1.6 m wide-field telescope,,,,,1.20000000,1.20000000,-0.60000000,0
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,0.03234000,0.01840000,-0.01660000,0
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.04876845,0.05978069,-0.03051961,0
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.19000000,0.21000000,-0.11000000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.10100000,0.05600000,-0.04200000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.12700000,0.06500000,-0.05900000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.09400000,0.05000000,-0.05000000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.10300000,0.05500000,-0.04300000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.13400000,0.06900000,-0.06300000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.09000000,0.06200000,-0.04100000,0
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.08800000,0.06100000,-0.03900000,0
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,1.25000000,1.04000000,-0.73000000,0
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,1.27000000,1.05000000,-0.74000000,0
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,10.70000000,14.00000000,-5.80000000,0
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,12.20000000,16.10000000,-6.70000000,0
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01277419,0.00805466,-0.00654441,0
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01283712,0.00811759,-0.00654441,0
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01296297,0.00811759,-0.00660734,0
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,4.05000000,1.73000000,-1.85000000,0
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,1.43000000,0.62000000,-0.62000000,0
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,2.56000000,1.13000000,-1.16000000,0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01507103,0.00490831,-0.00503416,0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01469346,0.00478245,-0.00478245,0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01469346,0.00490831,-0.00503416,0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01406419,0.00490831,-0.00478245,0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.01456761,0.00503416,-0.00516002,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,0.64000000,0.76000000,-0.35000000,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,,,,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,,,,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,,,,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,,,,0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020,KMTNet,1.6 m wide-field telescope,,,,,,,,0
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.16000000,0.77000000,-0.77000000,0
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.28000000,0.29000000,-0.18000000,0
KMT-2020-BLG-0202L b,KMT-2020-BLG-0202L,Microlensing,2026,KMTNet,1.6 m wide-field telescope,,,,,12.28000000,7.37000000,-5.43000000,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00402733,0.00078659,-0.00066073,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00380709,0.00088098,-0.00069220,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00588368,0.00084952,-0.00050342,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00270586,0.00059781,-0.00040903,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00302050,0.00047195,-0.00040903,0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,0.00550612,0.00097537,-0.00056634,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,12.50000000,2.60000000,-2.10000000,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,16.90000000,3.40000000,-3.00000000,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,32.40000000,4.80000000,-2.60000000,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,27.00000000,4.00000000,-3.10000000,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,15.40000000,3.30000000,-3.30000000,0
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,23.30000000,4.70000000,-3.90000000,0
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,5.58000000,3.16000000,-2.47000000,0
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,5.97000000,2.94000000,-2.60000000,0
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,5.52000000,3.12000000,-2.40000000,0
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,5.67000000,2.87000000,-2.53000000,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01919275,0.00629270,-0.00660734,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03586841,0.01699030,-0.01415858,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03712695,0.01667566,-0.01352931,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01856348,0.00660734,-0.00629270,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03712695,0.01793421,-0.01541712,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01887811,0.00660734,-0.00629270,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03523914,0.01730494,-0.01415858,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01824884,0.00660734,-0.00629270,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01824884,0.00660734,-0.00660734,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03807086,0.01636103,-0.01321468,0
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.03618305,0.01541712,-0.01258541,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.19000000,0.09000000,-0.10000000,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.10000000,0.04000000,-0.04000000,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.10000000,0.05000000,-0.03000000,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.19000000,0.09000000,-0.10000000,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.11000000,0.05000000,-0.04000000,0
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.10000000,0.05000000,-0.03000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.40000000,0.07000000,-0.08000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.40000000,0.07000000,-0.08000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.21000000,0.12000000,-0.11000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.21000000,0.12000000,-0.11000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.40000000,0.07000000,-0.08000000,0
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.40000000,0.07000000,-0.08000000,0
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.10000000,0.13000000,-0.07000000,0
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.10000000,0.13000000,-0.07000000,0
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,6.40000000,2.64000000,-2.78000000,0
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,Microlensing,2021,KMTNet,1.6 m wide-field telescope,,,,,,,,
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.08105002,0.03549085,-0.02237056,0
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.12015918,0.06456314,-0.03851135,0
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.12553944,0.06481485,-0.03744159,0
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,Microlensing,2025,KMTNet,1.6 m wide-field telescope,,,,,0.06607339,0.04090257,-0.03146352,0
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.45000000,0.40000000,-0.25000000,0
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.47000000,0.42000000,-0.26000000,0
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.41000000,0.36000000,-0.23000000,0
KMT-2021-BLG-0852L b,KMT-2021-BLG-0852L,Microlensing,2026,KMTNet,1.6 m wide-field telescope,,,,,0.49000000,0.17000000,-0.17000000,0
KMT-2021-BLG-0852L b,KMT-2021-BLG-0852L,Microlensing,2026,KMTNet,1.6 m wide-field telescope,,,,,0.49000000,0.17000000,-0.17000000,0
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.26000000,1.01000000,-0.66000000,0
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.02177275,0.00670173,-0.00814905,0
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.00884125,0.00339806,-0.00311489,0
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.22000000,0.31000000,-0.12000000,0
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.22000000,0.31000000,-0.12000000,0
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.25000000,0.35000000,-0.13000000,0
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.25000000,0.35000000,-0.13000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.28000000,0.67000000,-0.67000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.30000000,0.68000000,-0.68000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,2.43000000,0.88000000,-0.64000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.27000000,0.65000000,-0.65000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,2.37000000,0.85000000,-0.63000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.30000000,0.68000000,-0.68000000,0
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.24000000,0.64000000,-0.64000000,0
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.88000000,0.38000000,-0.36000000,0
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,0.88000000,0.38000000,-0.36000000,0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.05993800,0.06424851,-0.03190401,0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.06937706,0.06629363,-0.03684378,0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.05581628,0.06182581,-0.02922961,0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.05480945,0.06003239,-0.02888351,0
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.06994340,0.06667120,-0.03709549,0
KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.38000000,0.22000000,-0.20000000,0
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.19636382,0.11499916,-0.11499916,0
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.19277698,0.11289110,-0.11289110,0
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.18547744,0.10858060,-0.10858060,0
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01107516,0.00978515,-0.00566343,0
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01469346,0.00707929,-0.00707929,0
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01431590,0.00726807,-0.00726807,0
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01469346,0.00726807,-0.00726807,0
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.01123248,0.00997394,-0.00575782,0
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,Microlensing,2023,KMTNet,1.6 m wide-field telescope,,,,,1.47000000,0.65000000,-0.77000000,0
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.12000000,0.20000000,-0.07000000,0
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,,,,
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.12000000,0.20000000,-0.07000000,0
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.14473219,0.09439056,-0.07236609,0
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.12270772,0.07236609,-0.06292704,0
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,Microlensing,2022,KMTNet,1.6 m wide-field telescope,,,,,0.12270772,0.07551244,-0.06292704,0
